h3_index,latitude,longitude,gpu_count,construction_years,ng_configuration,ng_nameplate_mw,ng_base_lcoe,idling_cost_npv_millions,ng_total_lcoe,capex_npv,opex_npv,energy_npv,gas_price,state,facility_load_mw,annual_pue,eue_total_mwh,diesel_capacity_mw,used_cached_facility
842604bffffffff,44.45518386508419,-96.63577282269056,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13927346440863883,5903.577395405712,0.8321995581182579,594068821.6969031,592510358.5745822,8519779.308353906,5.57,South Dakota,124.02112119408226,1.1116739154651631,2433.7144679857324,150.0,True
842604dffffffff,44.80577331444947,-97.53256222397584,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1395421464861303,5903.577395405712,0.8344439926118712,594049151.8904035,591438937.2473643,8495555.780028068,5.57,South Dakota,123.66850300603824,1.108513192210987,2427.048768985896,150.0,True
8426051ffffffff,43.7554001849464,-96.02284141510472,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1398166864506229,5903.577395405712,0.8349004745539012,594047346.9474862,593462193.2804632,8493332.021906596,5.6,Minnesota,123.63613209999617,1.1082230328290974,2426.4368473002182,150.0,True
8426053ffffffff,43.40569093321705,-95.72292528935355,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14608275585937402,5903.577395405712,0.8382830917770675,594076076.753171,651821693.8779563,8528712.12143948,6.4,Iowa,124.15115478464769,1.1128394826635086,2436.1725509887256,150.0,True
8426055ffffffff,43.7620242911479,-96.5951033599827,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13940035358355585,5903.577395405712,0.8332594799839702,594059520.1339289,592003680.6151625,8508322.757145457,5.57,South Dakota,123.85434993458547,1.1101790470326989,2430.5619164290597,150.0,True
8426057ffffffff,43.4142197840752,-96.29143404622292,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14628976963648066,5903.577395405712,0.8400001623552912,594061002.087061,650886437.4637003,8510146.96820129,6.4,Iowa,123.88090469524896,1.11041707289859,2431.0638929226075,150.0,True
8426059ffffffff,44.09766174472851,-95.74979210120053,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1398085972722445,5903.577395405712,0.8348329142318599,594047935.9288592,593494505.9678346,8494058.770822462,5.6,Minnesota,123.64671127254404,1.108317860146053,2426.6368301209077,150.0,True
842605bffffffff,43.745895924862765,-95.44938372567432,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13954978635238843,5903.577395405712,0.8326714587264655,594066870.1871924,594531029.8349406,8517375.27580808,5.6,Minnesota,123.98612606088344,1.1113602335989552,2433.052939362786,150.0,True
842605dffffffff,44.10525063655914,-96.32709813305075,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13970112906283522,5903.577395405712,0.8339353555787828,594055785.3948998,593924288.4009352,8503725.644633135,5.6,Minnesota,123.78743047254322,1.1095792087174743,2429.296907968552,150.0,True
8426061ffffffff,44.10666006938616,-98.62247193064408,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13930940121201507,5903.577395405712,0.8324997330198632,594066186.2088238,592366737.3691303,8516531.642917056,5.57,South Dakota,123.97384542622919,1.1112501550810459,2432.8207930444514,150.0,True
8426063ffffffff,43.76481059994066,-98.3036219405084,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13930929176775594,5903.577395405712,0.8324988186713945,594066194.3514234,592367174.7788485,8516541.531976115,5.57,South Dakota,123.97398937974577,1.1112514454206903,2432.823514262029,150.0,True
8426065ffffffff,44.0998880997457,-99.19230658832429,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1393096576971313,5903.577395405712,0.8325018757006768,594066167.2094246,592365712.4085392,8516508.469192764,5.57,South Dakota,123.97350808987751,1.1112471313378376,2432.814416224826,150.0,True
8426067ffffffff,43.76097040271283,-98.87379687336956,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13927893031631464,5903.577395405712,0.8322452108577596,594068422.7095214,592488510.5213815,8519285.225239225,5.57,South Dakota,124.0139289019315,1.1116094467400022,2433.578508876925,150.0,True
8426069ffffffff,44.45444934188531,-98.37070804808184,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13927900346347696,5903.577395405712,0.8322458219284312,594068417.2811216,592488218.0322908,8519278.612045515,5.57,South Dakota,124.01383263468459,1.11160858384031,2433.5766890941877,150.0,True
842606bffffffff,44.11060631983121,-98.05092630603144,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13957961302816202,5903.577395405712,0.8347569959777669,594046418.6911286,591289969.6077251,8492188.526555786,5.57,South Dakota,123.61948641348776,1.1080738277959687,2426.1221864583426,150.0,True
842606dffffffff,44.44840961016688,-98.94578599000124,100000,3.0,4× Siemens SGT-A45 SC,176.0,0.13963885619450853,5903.577395405712,0.8352523708754941,447577682.16453856,737518319.4970624,8486864.143393109,5.57,South Dakota,123.54198018408879,1.1073790940870702,3127.1008556694537,150.0,True
8426081ffffffff,40.97608582413991,-95.32848032913674,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14596201162992664,5903.577395405712,0.8372816892516654,594084900.6169672,652368889.633548,8539576.677052006,6.4,Iowa,124.30930845501558,1.1142571065995794,2439.162200411631,150.0,True
8426083ffffffff,40.62058357720402,-95.03947964337064,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14593126755030594,5903.577395405712,0.8370267275704911,594087147.9744642,652508412.5979153,8542347.239892567,6.4,Iowa,124.34963911352084,1.1146186139027077,2439.924588850958,150.0,True
8426085ffffffff,40.983014465818606,-95.8743552618126,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13866989866126317,5903.577395405712,0.8289937439152731,594094902.4435092,591795581.8386993,8551895.513957577,5.54,Nebraska,124.48863187520539,1.1158644873967989,2442.5520310645443,150.0,True
