h3_index,gpu_count,latitude,longitude,annual_pue,facility_load_mw,annual_energy_mwh,ac_coupled_base_lcoe,ac_coupled_total_lcoe,ac_topology,ac_retried,ac_coupled_solar_to_battery_mw_ratio,dc_coupled_base_lcoe,dc_coupled_total_lcoe,dc_topology,dc_retried,dc_coupled_solar_to_battery_mw_ratio,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_turbine_class,ng_cycle_type,ng_n_units,ng_nameplate_mw,ng_efficiency_net,ng_aux_load_fraction,diesel_capacity_mw,eue_total_mwh,ng_construction_years,natural_gas_threeyr_base_lcoe,natural_gas_threeyr_total_lcoe,ng_threeyr_construction_years
8448ed7ffffffff,24000,32.10186184711824,-112.32269143155912,1.1134971253401014,31.8837369880336,211481.5650886089,0.2328194414022875,0.6725655981455159,lv_direct,False,1.409573170383772,0.1916110087731319,0.6344253045843776,lv_direct,False,1.539013291261258,0.0684,1.0503287210598722,0.1956653336445655,1.177594054704438,2x GE LM2500+G4 SC,aero,SC,2,70.0,0.3599221105315077,0.02,42.0,316.1917250951193,4.0,0.1912378289044569,0.8900171373798533,3.0
8448ed7ffffffff,50000,32.10186184711824,-112.32269143155912,1.1134971253401014,66.42445205840333,440586.593934602,0.2328194414022875,0.6725655981455159,lv_direct,False,1.409573170383772,0.1916110087731319,0.6344253045843776,lv_direct,False,1.539013291261258,0.0684,1.0503287210598724,0.1658846922608269,1.1478134133206994,2x Siemens SGT-800 SC,aero,SC,2,124.0,0.3822606900327179,0.02,84.0,2262.4331652724486,4.0,0.1625610735380645,0.8613403820134611,3.0
8448ed7ffffffff,100000,32.10186184711824,-112.32269143155912,1.1134971253401014,132.84890411680666,881173.187869204,0.2412134235266334,0.6811921054704123,mv_coupled,False,1.3353491347361566,0.1966133959280465,0.6394276917392923,mv_coupled,False,1.3826575809674089,0.0684,1.0503287210598724,0.1601862360954676,1.1565800019970305,2x GE 6F.03 CC,f_class,CC,2,258.2149565217392,0.4856421610151089,0.023,164.0,2487.3055754861075,4.05,0.1494815635898759,0.8482608720652725,3.0
8448ed7ffffffff,750000,32.10186184711824,-112.32269143155912,1.1134971253401014,996.36678087605,6608798.90901903,0.2412134235266334,0.6811921054704123,mv_coupled,False,1.3353491347361566,0.1966133959280465,0.6394276917392923,mv_coupled,False,1.3826575809674089,0.0684,1.0503287210598724,0.1321485254460347,1.1285422913475973,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.519855148299447,0.025,1206.0,44273.918952409615,4.05,0.1243750102860812,0.8231543187614775,3.0
8448ee1ffffffff,24000,31.631476695117435,-110.12766977365678,1.1064770403353157,31.54608587151626,210148.2715128274,0.2074061638635431,0.6491516612696823,lv_direct,False,1.2527451460532917,0.1702301138917808,0.6158538615801185,lv_direct,False,1.4648040483465552,0.0684,1.0565586045903896,0.1929762203007749,1.1811348248911646,1x GE LM6000PC SC,aero,SC,1,51.0,0.3722927861170847,0.02,42.0,15253.26286794136,4.0,0.1887173513154161,0.8919300912731286,3.0
8448ee1ffffffff,50000,31.631476695117435,-110.12766977365678,1.1064770403353157,65.72101223232555,437808.8989850571,0.2074061638635431,0.6491516612696823,lv_direct,False,1.2527451460532917,0.1702301138917808,0.6158538615801186,lv_direct,False,1.4648040483465552,0.0684,1.05655860459039,0.1658779292246896,1.1540365338150798,2x Siemens SGT-800 SC,aero,SC,2,124.0,0.3821406835997896,0.02,82.0,2248.6920451145,4.0,0.1625518771678653,0.865764617125578,3.0
8448ee1ffffffff,100000,31.631476695117435,-110.12766977365678,1.1064770403353157,131.4420244646511,875617.7979701142,0.2144167814688344,0.6564270671417973,mv_coupled,False,1.286309307219676,0.1746257101411786,0.6202494578295163,mv_coupled,False,1.512072459353774,0.0684,1.05655860459039,0.1605552753129233,1.1632706987635193,2x GE 6F.03 CC,f_class,CC,2,258.2149565217392,0.4854157438836696,0.023,162.0,2472.198669652637,4.05,0.1498096852158643,0.853022425173577,3.0
8448ee1ffffffff,750000,31.631476695117435,-110.12766977365678,1.1064770403353157,985.8151834848832,6567133.484775856,0.2144167814688344,0.6564270671417973,mv_coupled,False,1.286309307219676,0.1746257101411786,0.6202494578295162,mv_coupled,False,1.512072459353774,0.0684,1.0565586045903899,0.1323888725235767,1.1351042959741726,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.5194555337379874,0.025,1192.0,43660.98307372212,4.05,0.1245918755561556,0.8278046155138682,3.0
8448ee3ffffffff,24000,31.974343667327208,-110.45135870334568,1.1082874396673328,30.45527717104009,210492.1126197844,0.2421721217952341,0.6837261371639342,lv_direct,False,1.1665161004840394,0.2013708849951102,0.6462667015472906,lv_direct,False,1.1500788124050367,0.0684,1.0549444369894156,0.1916019750087136,1.1781464119981293,1x GE LM6000PC SC,aero,SC,1,51.0,0.3723276742692662,0.02,40.0,15277.300236268007,4.0,0.1873876725409545,0.8894517070012307,3.0
8448ee3ffffffff,50000,31.974343667327208,-110.45135870334568,1.1082874396673328,63.448494106333534,438525.2346245508,0.2421721217952341,0.6837261371639342,lv_direct,False,1.1665161004840394,0.2013708849951102,0.6462667015472906,lv_direct,False,1.1500788124050367,0.0684,1.0549444369894156,0.1650948355111013,1.1516392725005171,2x Siemens SGT-800 SC,aero,SC,2,124.0,0.3821716318811655,0.02,80.0,2252.235722254898,4.0,0.1617943728473531,0.8638584073076295,3.0
