design_id,site,solar_mw_initial,batt_mw_initial,solar_battery_ratio,year,capacity_fraction,solar_degradation,mean_soc,soc_p90,efc,mean_temp,c_rate_max,c_rate_mean,mean_soc_relative,soc_p90_relative,efc_relative,c_rate_max_relative,c_rate_mean_relative,uptime_pct
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,8,0.9136623225857909,0.9525081642087249,0.8167344675472876,1.0,169.69997439034032,29.997929083044827,0.2736240663754913,0.05853518400420048,0.9797016386777188,1.0,1.0919408341187489,1.0944962655019652,1.0893492517333065,99.48630136986301
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,9,0.907536700098771,0.9472693693055769,0.8153093038726494,1.0,170.81237907466056,29.997942073002804,0.275470953376091,0.058891078059062345,0.9779921048660505,1.0,1.0990986436778727,1.101883813504364,1.095972497716992,99.48630136986301
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,10,0.9016886356175191,0.9420593877743962,0.8139154233628354,1.0,171.8888859350719,29.997954639053,0.2772575699912067,0.0592533011094641,0.9763200963077651,1.0,1.1060254673460266,1.1090302799648268,1.1027135273324007,99.46347031963471
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,11,0.8960991226142133,0.9368780611416371,0.8125490492288716,1.0,172.9311920610521,29.997966802838494,0.278986993392727,0.05958704037222411,0.9746810826120272,1.0,1.1127322251089475,1.115947973570908,1.1089244690479942,99.42922374429224
6,Chicago,716.667344342239,209.3097789081605,0.8559888459113673,12,0.8907304422819871,0.9317252318053582,0.8112092765089662,1.0,173.94506538065912,29.99797862978489,0.2806685256647545,0.05990698943330111,0.9730739782454284,1.0,1.1192560309155173,1.122674102659018,1.1148787728774996,99.41780821917808
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,0,1.0,1.0,0.8557464265024041,1.0,121.10079461447113,29.997193074703777,0.25,0.041204725456750434,1.0,1.0,1.0,1.0,1.0,99.68036529680366
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,1,0.9748915538643804,0.99,0.851669885874313,1.0,124.19803483759505,29.997253085697825,0.2564387792765493,0.04220891321446675,0.995236275020449,1.0,1.0255757217199448,1.0257551171061972,1.0243706940547472,99.63470319634703
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,2,0.962829051484354,0.9845550000000001,0.8495759648406581,1.0,125.74600452339048,29.997283028966717,0.25965149225045225,0.04271358224827067,0.992789380743352,1.0,1.0383582116344285,1.038605969001809,1.036618537674859,99.62328767123287
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,3,0.9531738841540717,0.9791399475000001,0.8477855361794173,1.0,127.01687376678822,29.997307542492255,0.262281629990179,0.043089995197114324,0.9906971386891741,1.0,1.0488525213327555,1.049126519960716,1.0457537265317474,99.61187214611871
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,4,0.9448090600836221,0.9737546777887501,0.8461541951676617,1.0,128.14142880495342,29.99732918501682,0.2646037284802003,0.043435314053254424,0.9887908017636163,1.0,1.058138629171645,1.0584149139208012,1.0541342909527518,99.58904109589041
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,5,0.9372925329450212,0.9683990270609121,0.8446200676636529,1.0,129.17079604806872,29.997348962240036,0.2667256925801886,0.04376397869120183,0.9869980656720628,1.0,1.0666387157845556,1.0669027703207543,1.0621106731347514,99.57762557077625
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,6,0.9304078509977958,0.9630728324120772,0.8431628737795133,1.0,130.12336993139252,29.997367357361085,0.26869936633906616,0.044071866276399245,0.9852952319364954,1.0,1.074504674768197,1.0747974653562646,1.0695828157539415,99.56621004566209
